종목코드,종목명,상장일,분류체계,운용사,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,복제방법,총보수,과세유형
"226980","KODEX 200 중소형","2015/09/01","주식-규모-중형주","삼성자산운용","75.87","코스피 200 중소형주지수","0.70","24739473413","0.31","매우높음","실물(패시브)","0.300000","비과세"
"337160","KODEX 200ESG","2019/11/14","주식-전략-전략테마","삼성자산운용","163.24","코스피 200 ESG 지수","0.63","95435482593","0.08","매우높음","실물(패시브)","0.090000","비과세"
"363580","KODEX 200IT TR","2020/09/25","주식-업종섹터-정보기술","삼성자산운용","233.18","코스피200 정보기술 TR","0.13","120266583629","0.08","매우높음","실물(패시브)","0.150000","배당소득세(보유기간과세)"
"278530","KODEX 200TR","2017/11/21","주식-시장대표","삼성자산운용","160.11","코스피 200 TR","0.20","6049976570548","-0.12","매우높음","실물(패시브)","0.050000","배당소득세(보유기간과세)"
"337150","KODEX 200exTOP","2019/11/14","주식-규모-대형주","삼성자산운용","99.80","코스피 200 초대형제외 지수","0.57","17773115725","-0.10","매우높음","실물(패시브)","0.300000","비과세"
"223190","KODEX 200가치저변동","2015/06/26","주식-전략-가치","삼성자산운용","120.49","코스피 200 가치저변동성","0.72","25213295529","0.30","매우높음","실물(패시브)","0.300000","비과세"
"252650","KODEX 200동일가중","2016/09/20","주식-시장대표","삼성자산운용","64.89","코스피 200 동일가중지수","0.73","70399125771","-0.04","매우높음","실물(패시브)","0.250000","비과세"
"360140","KODEX 200롱코스닥150숏선물","2020/08/21","주식-전략-전략테마","삼성자산운용","50.31","코스피200 롱 100% 코스닥150 숏 100% 선물지수","3.31","32457892540","-0.03","매우높음","실물(패시브)","0.640000","배당소득세(보유기간과세)"
"494890","KODEX 200액티브","2024/10/29","주식-시장대표","삼성자산운용","154.51","코스피 200","0.68","1015673383143","0.00","매우높음","실물(액티브)","0.150000","배당소득세(보유기간과세)"
"498400","KODEX 200타겟위클리커버드콜","2024/12/03","주식-전략-구조화","삼성자산운용","88.74","코스피 200 타겟 15% 위클리 커버드콜 지수","1.02","3831573092347","-0.33","매우높음","실물(패시브)","0.390000","배당소득세(보유기간과세)"
"305720","KODEX 2차전지산업","2018/09/12","주식-업종섹터-업종테마","삼성자산운용","35.02","FnGuide 2차전지 산업 지수","0.53","1891512388944","-0.06","매우높음","실물(패시브)","0.450000","비과세"
